SAL_avg,CellID,Date
9.33E-09,599,2012/10/12
9.28E-09,599,2012/10/13
9.43E-09,599,2012/10/14
9.57E-09,599,2012/10/15
9.85E-09,599,2012/10/16
1.03E-08,599,2012/10/17
1.11E-08,599,2012/10/18
1.27E-08,599,2012/10/19
1.44E-08,599,2012/10/20
1.69E-08,599,2012/10/21
2.09E-08,599,2012/10/22
2.53E-08,599,2012/10/23
2.93E-08,599,2012/10/24
3.01E-08,599,2012/10/25
2.96E-08,599,2012/10/26
2.93E-08,599,2012/10/27
2.92E-08,599,2012/10/28
2.60E-08,599,2012/10/29
3.15E-08,599,2012/10/30
6.22E-08,599,2012/10/31
6.20E-08,599,2012/11/1
7.46E-08,599,2012/11/2
7.08E-08,599,2012/11/3
6.42E-08,599,2012/11/4
5.64E-08,599,2012/11/5
5.07E-08,599,2012/11/6
4.61E-08,599,2012/11/7
3.79E-08,599,2012/11/8
3.14E-08,599,2012/11/9
2.90E-08,599,2012/11/10
2.88E-08,599,2012/11/11
2.86E-08,599,2012/11/12
2.85E-08,599,2012/11/13
2.88E-08,599,2012/11/14
1.91E-15,600,2012/1/1
2.84E-15,600,2012/1/2
5.25E-15,600,2012/1/3
1.23E-14,600,2012/1/4
3.51E-14,600,2012/1/5
5.40E-14,600,2012/1/6
8.63E-14,600,2012/1/7
1.13E-13,600,2012/1/8
2.24E-13,600,2012/1/9
4.56E-13,600,2012/1/10
7.83E-13,600,2012/1/11
1.09E-12,600,2012/1/12
9.90E-13,600,2012/1/13
4.72E-13,600,2012/1/14
1.76E-13,600,2012/1/15
6.32E-14,600,2012/1/16
3.86E-14,600,2012/1/17
3.09E-14,600,2012/1/18
3.08E-14,600,2012/1/19
5.69E-14,600,2012/1/20
8.17E-14,600,2012/1/21
1.18E-13,600,2012/1/22
1.78E-13,600,2012/1/23
1.65E-13,600,2012/1/24
9.18E-14,600,2012/1/25
7.04E-14,600,2012/1/26
7.84E-14,600,2012/1/27
9.47E-14,600,2012/1/28
1.06E-13,600,2012/1/29
8.54E-14,600,2012/1/30
6.76E-14,600,2012/1/31
6.15E-14,600,2012/2/1
4.07E-14,600,2012/2/2
4.23E-14,600,2012/2/3
7.41E-14,600,2012/2/4
1.00E-13,600,2012/2/5
1.69E-13,600,2012/2/6
3.37E-13,600,2012/2/7
4.68E-13,600,2012/2/8
7.07E-13,600,2012/2/9
1.36E-12,600,2012/2/10
1.91E-12,600,2012/2/11
2.38E-12,600,2012/2/12
3.53E-12,600,2012/2/13
4.29E-12,600,2012/2/14
4.10E-12,600,2012/2/15
4.18E-12,600,2012/2/16
5.09E-12,600,2012/2/17
5.89E-12,600,2012/2/18
6.56E-12,600,2012/2/19
7.15E-12,600,2012/2/20
9.64E-12,600,2012/2/21
8.88E-12,600,2012/2/22
7.54E-12,600,2012/2/23
6.62E-12,600,2012/2/24
5.04E-12,600,2012/2/25
3.22E-12,600,2012/2/26
1.69E-12,600,2012/2/27
7.21E-13,600,2012/2/28
5.90E-13,600,2012/2/29
4.50E-13,600,2012/3/1
1.33E-13,600,2012/3/2
2.22E-14,600,2012/3/3
5.60E-16,600,2012/3/4
6.06E-17,600,2012/3/5
