"CellID","H","DX","DY","LAT","LON","FSM"
3319,3.36151075363159,1024.1240234375,2018.68432617188,37.7323722839355,-76.2651519775391,1
3320,4.83548545837402,1007.65832519531,2032.41711425781,37.733039855957,-76.2536392211914,1
3321,5.6526951789856,992.603759765625,2045.96887207031,37.7337188720703,-76.242301940918,1
3322,7.62576961517334,979.025512695312,2059.35864257812,37.7344017028809,-76.2311248779297,1
3323,12.0680952072144,966.98779296875,2072.6064453125,37.7350997924805,-76.220100402832,1
3324,17.0074291229248,956.555114746094,2085.73364257812,37.7358016967773,-76.2092056274414,1
3325,24.7426357269287,947.791259765625,2098.7626953125,37.7365188598633,-76.1984176635742,1
3326,28.2707500457764,940.760375976562,2111.71655273438,37.737247467041,-76.1877212524414,1
3327,20.9747753143311,935.52685546875,2124.6201171875,37.7379875183105,-76.1770935058594,1
3328,15.2671937942505,932.155456542969,2137.49877929688,37.7387428283691,-76.1665267944336,1
3329,12.7700786590576,930.711669921875,2150.37915039062,37.7395172119141,-76.1559829711914,1
3330,9.01163673400879,931.262390136719,2163.28955078125,37.740306854248,-76.1454467773438,1
3331,8.76924610137939,933.875854492188,2176.2587890625,37.7411193847656,-76.1348876953125,1
3332,8.29216480255127,938.683227539062,2189.31787109375,37.7419509887695,-76.1242980957031,1
3333,8.41518402099609,949.460021972656,2202.52563476562,37.7428131103516,-76.1136322021484,1
3334,8.13621139526367,972.19873046875,2216.01025390625,37.743709564209,-76.102783203125,1
3335,7.89699840545654,1007.83001708984,2229.9501953125,37.7446556091309,-76.0916061401367,1
3336,8.16316699981689,1056.84533691406,2244.53686523438,37.7456665039062,-76.0799560546875,1
3337,9.07936668395996,1119.80029296875,2259.97265625,37.7467651367188,-76.0676803588867,1
3338,7.19350528717041,1197.33703613281,2276.4716796875,37.7479629516602,-76.0546112060547,1
3339,6.66091537475586,1290.20971679688,2294.26318359375,37.7492866516113,-76.0405883789062,1
3340,9.16552639007568,1399.31481933594,2313.5947265625,37.7507667541504,-76.0254364013672,1
3341,12,1525.72900390625,2334.734375,37.7524299621582,-76.0089645385742,1
3342,8,1670.75598144531,2357.978515625,37.7543182373047,-75.9909744262695,1
3343,6.84969615936279,1835.98571777344,2383.65551757812,37.7564697265625,-75.9712448120117,1
3344,5.3170485496521,2023.37390136719,2412.13623046875,37.7589454650879,-75.9495544433594,1
3345,5,2235.34692382812,2443.84375,37.7618064880371,-75.9256439208984,1
3346,4.40000009536743,2473.16259765625,2479.25463867188,37.76513671875,-75.8992309570312,1
3347,8,2719.1943359375,2518.75073242188,37.7690277099609,-75.8701095581055,1
3348,6,2961.53442382812,2562.51733398438,37.7735557556152,-75.8383026123047,1
3349,1.00000001335143e-10,3200.89501953125,2610.67138671875,37.7787933349609,-75.8038787841797,0
3350,1.00000001335143e-10,3438.34497070312,2663.3583984375,37.7848434448242,-75.7668991088867,0
3351,1.00000001335143e-10,3675.25415039062,2720.7490234375,37.7918167114258,-75.7274017333984,0
3352,1.00000001335143e-10,3913.564453125,2783.03686523438,37.7998542785645,-75.6854476928711,0
3353,1.00000001335143e-10,4156.28076171875,2850.42822265625,37.8091201782227,-75.6410598754883,0
3354,1.00000001335143e-10,4408.4208984375,2923.1318359375,37.8198165893555,-75.5942611694336,0
3355,1.00000001335143e-10,4679.05224609375,3001.33959960938,37.8322143554688,-75.5450057983398,0
3356,1.00000001335143e-10,4986.26953125,3085.21435546875,37.8466300964355,-75.4932327270508,0
3357,1.00000001335143e-10,5372.0546875,3174.91552734375,37.8637199401855,-75.4383773803711,0
3358,1.00000001335143e-10,5965.4189453125,3270.93139648438,37.8839569091797,-75.3803634643555,0
3359,1.00000001335143e-10,8010.71484375,3380.92163085938,37.911808013916,-75.311882019043,0
3360,1.00000001335143e-10,0,0,0,0,0
3361,1.00000001335143e-10,0,0,0,0,0
3362,1.00000001335143e-10,1430.5078125,1197.18518066406,37.7274589538574,-76.9234619140625,0
3363,1.00000001335143e-10,1621.97106933594,1212.98913574219,37.7275810241699,-76.9059524536133,0
3364,1.00000001335143e-10,1719.82922363281,1230.66906738281,37.7277450561523,-76.8868713378906,0
3365,1.00000001335143e-10,1790.48681640625,1249.62377929688,37.7279510498047,-76.8668975830078,0
3366,1.00000001335143e-10,1843.71704101562,1269.61303710938,37.7282028198242,-76.8462142944336,0
3367,1.00000001335143e-10,1882.86401367188,1290.44836425781,37.7284927368164,-76.8250198364258,0
3368,1.00000001335143e-10,1909.24938964844,1311.95446777344,37.7288284301758,-76.8034439086914,0
3369,1.00000001335143e-10,1923.31958007812,1333.95874023438,37.7292060852051,-76.7816467285156,0
3370,1.00000001335143e-10,1925.06518554688,1356.28637695312,37.729621887207,-76.7597503662109,0
3371,1.00000001335143e-10,1914.20971679688,1378.75842285156,37.7300720214844,-76.7379150390625,0
3372,1.00000001335143e-10,1890.30834960938,1401.19165039062,37.7305564880371,-76.7162780761719,0
3373,1.00000001335143e-10,1852.8115234375,1423.39794921875,37.7310676574707,-76.6949844360352,0
3374,1.00000001335143e-10,1801.11047363281,1445.18383789062,37.7315979003906,-76.674201965332,0
3375,1.00000001335143e-10,1734.68920898438,1466.35217285156,37.7321434020996,-76.6540908813477,0
3376,1.00000001335143e-10,1659.86840820312,1486.74291992188,37.7326965332031,-76.6348037719727,0
3377,3,1587.37573242188,1506.30236816406,37.7332534790039,-76.6163635253906,1
3378,5.07790517807007,1518.6083984375,1525.05322265625,37.7338104248047,-76.5987243652344,1
3379,8,1454.03686523438,1543.03295898438,37.7343673706055,-76.5818405151367,1
3380,1.00000001335143e-10,1394.10595703125,1560.287109375,37.7349243164062,-76.565673828125,0
3381,1.00000001335143e-10,1339.23718261719,1576.86877441406,37.7354774475098,-76.5501556396484,0
3382,1.00000001335143e-10,1289.83093261719,1592.83740234375,37.7360305786133,-76.5352325439453,0
3383,1.00000001335143e-10,1246.26818847656,1608.25817871094,37.7365798950195,-76.5208358764648,0
